Frame,T1Right,T2Right,T3Right,T4Right,T5Right,T6Right,T7Right,T8Right
105,21.82132535,21.18347582,19.47842293,33.28727805,4.167017159,21.40848579,6.734218292,32.14385366
106,21.82132535,21.54952473,20.97272896,33.86347366,4.596095734,21.28184203,6.764883443,31.93522444
107,21.77593681,21.70388352,21.62499295,34.15219583,4.968875929,20.3723813,6.406556641,31.92579597
108,21.72345313,21.77852888,21.46721854,34.03109449,4.828031483,19.48808046,6.65340334,32.04183765
109,21.46670725,22.15088477,20.91410701,33.94810345,4.739201621,17.97006756,6.65340334,32.15443733
110,21.09706634,22.25758729,20.23979763,34.1889058,4.675245448,16.3560269,6.772064973,32.27237779
111,21.25146508,22.84971562,19.70921571,33.41680056,5.091382523,16.19949431,6.803481462,32.51189468
112,21.98861233,23.28361209,19.22660324,32.40290851,5.464234256,16.61322846,6.880939471,32.63113801
113,22.49304675,23.40243953,18.96507611,31.06945407,5.595798424,16.91311255,6.713697044,32.67123701
114,23.72080943,23.72001619,18.60633183,29.38949146,5.617891419,17.68616182,6.757694281,33.02936778
115,24.15963576,24.31947894,17.3831072,28.71582588,5.449292064,18.29358095,6.843236661,33.10855261
116,24.46232303,24.73767912,16.80606557,28.62142414,5.383577992,17.90713288,7.147846669,33.14883093
117,25.20155551,25.0292437,16.37049639,28.63577399,5.296368567,18.58871055,7.715003564,32.99198545
118,26.257014,25.43417418,16.21536062,28.78405447,5.428246126,19.8259773,7.975823468,33.15034455
119,27.49662728,25.93017701,16.21797127,28.83086457,5.39027272,20.48253109,7.72657958,33.1520473
120,27.75081116,26.1564964,16.23159783,28.45312552,4.959716121,21.07661757,7.128076318,33.26692243
121,27.74165619,26.39525412,16.16887875,27.8089482,4.984314597,21.44741514,7.008954273,33.42407276
122,27.84906519,26.8931218,16.20375265,27.05501358,4.380904016,20.96083815,6.935187957,33.34234545
123,27.74148662,27.33924359,16.17702272,27.16900469,4.381261919,20.83327953,6.797255917,33.10476365
124,27.02253874,27.42696833,16.16160388,27.29412655,4.162499249,21.67207235,6.6994352,32.4738201
125,25.39122998,27.39224416,16.27366167,27.68745564,4.356497676,22.16638175,6.709258081,31.72690366
126,24.28780105,27.53401039,16.16383519,26.40261926,4.367281992,21.61295315,6.686550082,31.13851788
127,24.09432132,27.60294477,15.09519447,25.79169355,4.007425108,20.26991149,6.563238225,30.65906665
128,23.77198351,27.59351344,13.71634237,25.51548299,4.129216875,19.07636527,6.855141136,30.17740188
129,23.69561107,27.4617628,12.91501328,25.03206264,4.553939833,18.61105048,6.855141136,30.21349209
130,23.73376194,27.4617628,12.5924066,25.3217238,5.031281348,19.40220194,7.069764353,30.09540244
131,23.61115668,27.52432757,12.15664427,25.81186952,5.162944896,18.75130545,7.069764353,29.77936574
